face	Iniciála	Částka	Zaplaceno	Poznámka
14.07	RN	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
17.07	HK	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
17.07	PSP	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
17.07	RL	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
17.07	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
18.07	LM	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
19.07	PS	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
19.07	RN	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
20.07	RL	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
21.07	LM	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
21.07	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
24.07	RN	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
25.07	RN	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
9.08	PS	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
9.08	HK	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
14.08	RL	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
14.08	TCH	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
15.08	HK	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
17.08	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
22.08	RL	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
22.08	PS	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
1.09	LM	20,00 Kč	1	neomluvená účast na daily
1.09	HK	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
1.09	RL	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
11.09	TK	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
11.09	RL	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
11.09	HK	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
11.09	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
18.09	LM	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
18.09	RL	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
18.09	LM	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
21.09	RL	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
22.09	HK	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
22.09	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
25.09	PS	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
25.09	ZM	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
25.09	RL	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
2.10	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
2.10	PSP	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
2.10	RL	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
2.10	TK	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
06.10	TK	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
10.10	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
13.10	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
16.10	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
16.10	PS	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
16.10	RL	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
2.11	PSP	20,00 Kč	1	neomluvená účast na daily
6.11	RL	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
9.11	HK	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
15.11	HK	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
29.11	LM	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
28.11	HK	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
28.11	PSP	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
28.11	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
30.11	HK	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
1.12	PSP	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
1.12	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
4.12	TCH	20,00 Kč	1	neomluvený pozdní příchod
4.12	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
4.12	PSP	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
6.12	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
8.12	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
8.12	VD	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
8.12	HK	46,00 Kč	1	inventura
